Immutable:
0xfcfd8e9eb9d6ec1518326de5385476d4d26b0682d70267add0084193ae403652 ethereum:0xB6846927447e4764acd53b0b354BEd939f9220d7
0x95275ddb3e393113e19b284d6806675c79ab6698047f0cf6bdf7bb5ca1568c6d ethereum:0xF27d54dB0587442b01d6036C0F7f67CDaaBa1743
0x665ede6663477caf46bd510bb4ba7de3f2a6d8f51f840d058bad706018c67453 ethereum:0xE7Fd68F6a389DE7D7C9cFCfCE15486885abeDD44
0xef6480951f06efac6ba95f0530ca0340d138c7208111550c58acbd6481520d79 ethereum:0x485858BA818aab8744f2932A4982bfB0E7Db0005
0xdec3a533c2d2004adafb78bf9d2e3f16e42a1c061ac62c31795c3e0bd006426b ethereum:0x0D736853812A12F085DE867aDF4eA4ABA9521Fc0
0xa461f73f68673cc277f554dc5888d74dc47e1f756d93f9c3f2813f801fb1c269 ethereum:0x5dC91D01290af474CE21DE14c17335a6dEe4d2a8

Pythonized result:
0xb454745206bc5cace3c49dc78acf2be6af8602f7cf48f15a340a0ce854317389 ethereum 0x6F8C5bA3F59ea3E76300E3BEcDC231D656017824
0xe548a802866b09c90c208e0f77018c9cdafa34ab07c071eac1e68c0a46d384b9 ethereum 0xb6738A8E7793D44c5895B6A6F2a62F6bF86Ba8d2
0x6a8cfd738d026b64f2e5aaaf5faac411dcdc8c0d8ef834587d82144340812a2c ethereum 0xA6f3DFdbf4855a43c529bc42EDE96797252879af
0x3a72e01a50e4baf0c333aa3ad2413675a95c2fc68a18d8a95b3a65179e98ccbc ethereum 0xA4ba8bd753695B6121722CBB7cd81c71BCFBCA28
0x2f020370d4312debb7d9c97dbf80a48a0a0ee81d261d6d239d6b01d0dd076c81 ethereum 0xaaF7FCc7252eb739E0001D8727800deAE04A84f1
0x8d871731877bb6dfe48e64a821acb08680fe17b500908486a34315093c236d0b ethereum 0x436e9FC7894e26718637f086d42B4a06439C8ae0
0x347fa20f8dfc82ef7433b3eb7915a248528d908fc77907c0d879f96a00106732 ethereum 0xc5b17F1DF579D033DB17174B837fe4D2dF05b050
0x6aa2de634fc13396d9ea0b7d9d0869633db9d2bfc5b834f530fdc61ab1184bf6 ethereum 0x050ed6F6273c7D836a111E42153BC00D0380b87d
0x9388575e8cf83880125e7770a596c83a0ad9c191b71f1990544987cbd0dbd4c0 ethereum 0xde8B916B972cE3c27C21157Fc2b107c413062b9d
0xbeae5546b3ade5af5df9bfc3c26b178639a7c992a8d59b98a3fbb46dfe0c3a2c ethereum 0xb4c61d092eCf1b69F1965F9D8DE639148ea26a40
0xbe473240e6de093ae7120378ade4c19b5ab4bbe69143651df5cc3fe66c33c3eb ethereum 0xd51A3D50d4D2f99a345a66971E650EEA064DD8dF
0x4a3316e3eb418f807ad2271f24b4764f4069731c7be4041cf2574e66ee2b20cc ethereum 0x6cB3EE90C50a38A0e4662bB7e7E6e40B91361BF6
0x9ae32beaa5dc29055f75d3cd08fbec35ed3eee3e2ff35de263a78f7d63c610f9 ethereum 0xF6F26b416CE7AE5e5FE224Be332C7aE4e1f3450a
0xe521f6bd6250a2c92af323768ad8a2274cc334725b5ed8960d8421f063fc3285 ethereum 0xaD193aDe635576d8e9f7ada71Af2137b16c64075
0xd272def5b4e3f0a68e3019d7d40675ca6d3e3fc35500e9aafe864bce8c697de2 ethereum 0xE60E94fCCb18a81D501a38959E532C0A85A1be89
0x419cee160f60572fc9189007ec7c1e3c13e54d80bf1e78f837bc8fa001519685 ethereum 0xCDB6228b616EEf8Df47D69A372C4f725C43e718C
0x46ab6472330f39b5dde71de5fc30609f34ecfa68c11673e09438f6db607279ea ethereum 0xaD193aDe635576d8e9f7ada71Af2137b16c64075
0xe59fe71de493915d874d4d22b4637434d86b42759b4d5fd2dddf4f25cfdd1544 ethereum 0x8f7a9912416e8AdC4D9c21FAe1415D3318A11897
0xb36dfb10be7530bb56af796b85f6c84bf90513603fe59c2f7f0d78fc2a9a9235 ethereum 0x70F3FBf8a427155185Ec90BED8a3434203de9604
0xe185bff4846e41d1ea1bffd2a1905568a7206a93b2923a300f9b61990293218b ethereum 0x642F04899B6cA155c2a5eAdD4e4ed634f1B07Dd7
0xd3e96d9fb623969bd9cc3e5fed6779ce42c5de753b49fc73da783863d4043a2f ethereum 0x594cCaDF93F860dc42Cf9fd7bCea47Ff4d135D7A
0x47106a5b62610ed3e17aeaa5e041a4fcea8b1f14fea096ed2697d3e382077da7 ethereum 0x20718EfbC25Dba60FD51c2c81362b83f7C411A6D
0x3fca66122127ad88c1effb0da1dd14d847ab5efee9ee02c4be5d458b61dbf71f ethereum 0x1C207dabc46902dF9028b27D6d301c3849b2D12c
0xf82396d0cffcb5c92e0fe02e163c71e8fcc7d63bc7fc1df34540bae85dfd7fbb ethereum 0x0f27c8532457b66D6037141DEB0ed479Dad04B3c
0x24b66df82f92b1b0453e29e73d9693a2671b512379ccba03e3ea38cf35ffbc3c ethereum 0x020082A7a9c2510e1921116001152DEE4da81985
0x6a270bc5c82591f8a8adb6765201cc65b04ed37a9509b2703970f74d1ee9534f ethereum 0x1175E4CFd6a73A4c1F1f2c1400a08D88554FA62e
0x4c921a754523a7496c7a7b47d0a0b6bd773d71028cf77f6301757bdcaf3c469e ethereum 0x06f9817a91595E1B595F789Fb91529e8651da9B8
0x6b4c769c7b59108373c42add32bce68be08c2c8095dcb0919d25cd9b4542102c ethereum 0x057152DB365B47851B0A0bd431644b8eE21fE1b4
0x0a632a2beeac9d8c3a57905d419850c6bb531ccc97efca28cfe666847026992a ethereum 0x45A103142585bdFc49cdb137f2a45D1AE7F84b6b
0x8f8568ffa012634ccf826a95dde2d995cc8c0fb07ea6662639e4e41983a00643 ethereum 0x50f6631B377be52E132DF35a2F05eA54fda882ac
0xa9fa40d9d26de86fa9869be555593dd3b95cc40442206b8c0725a24d1809cc7f ethereum 0x21377fe476Fb8587CbAFd47155093597Fa4df45E
0x4f46bb4ccf89fb70d097b085ff91815ba6ed930b5ce6b451f0dbf068006eeab2 ethereum 0x0238d2C272f17CF11AEDB08CDE515d56ED25E2E4
0x847be59cd2db802e5662b649bac8ff82c5d602b59f0d57a38d33d066aac1ba5f ethereum 0xA81f4AB595dE5C14759245DE5ce9899D380FeFda
0xb4f2982da610e459869524c6366a4b364337b95f231f4109941deb2cc5afa258 ethereum 0x72427dA7EFBa1585E94F30C72221d8d394aE3Bb7
