id,link,rank,address
gmx,https://www.coingecko.com/en/coins/gmx,98,https://arbiscan.io/address/0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a
gains-network,https://www.coingecko.com/en/coins/gains-network,203,https://arbiscan.io/address/0x18c11fd286c5ec11c3b683caa813b77f5163a122
bitcoin-avalanche-bridged-btc-b,https://www.coingecko.com/en/coins/bitcoin-avalanche-bridged-btc-b,215,https://arbiscan.io/address/0x2297aebd383787a160dd0d9f71508148769342e3
joe,https://www.coingecko.com/en/coins/joe,253,https://arbiscan.io/address/0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07
radiant-capital,https://www.coingecko.com/en/coins/radiant-capital,283,https://arbiscan.io/address/0x3082cc23568ea640225c2467653db90e9250aaa0
beefy-finance,https://www.coingecko.com/en/coins/beefy-finance,569,https://arbiscan.io/address/0x99c409e5f62e4bd2ac142f17cafb6810b8f0baae
dream-machine-token,https://www.coingecko.com/en/coins/dream-machine-token,580,https://arbiscan.io/address/0x8b0e6f19ee57089f7649a455d89d7bc6314d04e8
usd,https://www.coingecko.com/en/coins/usd,612,https://arbiscan.io/address/0xe80772eaf6e2e18b651f160bc9158b2a5cafca65
hydranet,https://www.coingecko.com/en/coins/hydranet,642,https://arbiscan.io/address/0x3404149e9ee6f17fb41db1ce593ee48fbdcd9506
aurory,https://www.coingecko.com/en/coins/aurory,736,https://arbiscan.io/address/0x11bf4f05eb28b802ed3ab672594decb20ffe2313
arbdoge-ai,https://www.coingecko.com/en/coins/arbdoge-ai,761,https://arbiscan.io/address/0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b
vela-token,https://www.coingecko.com/en/coins/vela-token,773,https://arbiscan.io/address/0x088cd8f5ef3652623c22d48b1605dcfe860cd704
level,https://www.coingecko.com/en/coins/level,814,https://arbiscan.io/address/0xb64e280e9d1b5dbec4accedb2257a87b400db149
camelot-token,https://www.coingecko.com/en/coins/camelot-token,847,https://arbiscan.io/address/0x3d9907f9a368ad0a51be60f7da3b97cf940982d8
idia,https://www.coingecko.com/en/coins/idia,883,https://arbiscan.io/address/0xe6045890b20945d00e6f3c01878265c03c5435d3
tigris,https://www.coingecko.com/en/coins/tigris,1024,https://arbiscan.io/address/0x3a33473d7990a605a88ac72a78ad4efc40a54adb
umami-finance,https://www.coingecko.com/en/coins/umami-finance,1075,https://arbiscan.io/address/0x1622bf67e6e5747b81866fe0b85178a93c7f86e3
vesta-stable,https://www.coingecko.com/en/coins/vesta-stable,1079,https://arbiscan.io/address/0x64343594ab9b56e99087bfa6f2335db24c2d1f17
winr-protocol,https://www.coingecko.com/en/coins/winr-protocol,1092,https://arbiscan.io/address/0xd77b108d4f6cefaa0cae9506a934e825becca46e
nitro-cartel,https://www.coingecko.com/en/coins/nitro-cartel,1123,https://arbiscan.io/address/0x982239d38af50b0168da33346d85fb12929c4c07
jones-dao,https://www.coingecko.com/en/coins/jones-dao,1223,https://arbiscan.io/address/0x10393c20975cf177a3513071bc110f7962cd67da
gmd-protocol,https://www.coingecko.com/en/coins/gmd-protocol,1267,https://arbiscan.io/address/0x4945970efeec98d393b4b979b9be265a3ae28a8b
magpie,https://www.coingecko.com/en/coins/magpie,1277,https://arbiscan.io/address/0xa61f74247455a40b01b0559ff6274441fafa22a3
gnd-protocol,https://www.coingecko.com/en/coins/gnd-protocol,1379,https://arbiscan.io/address/0xd67a097dce9d4474737e6871684ae3c05460f571
factor,https://www.coingecko.com/en/coins/factor,1438,https://arbiscan.io/address/0x6dd963c510c2d2f09d5eddb48ede45fed063eb36
battlefly,https://www.coingecko.com/en/coins/battlefly,1473,https://arbiscan.io/address/0x872bad41cfc8ba731f811fea8b2d0b9fd6369585
spartadex,https://www.coingecko.com/en/coins/spartadex,1501,https://arbiscan.io/address/0x11f98c7e42a367dab4f200d2fdc460fb445ce9a8
archi-token,https://www.coingecko.com/en/coins/archi-token,1546,https://arbiscan.io/address/0x93d504070ab0eede5449c89c5ea0f5e34d8103f8
mizar,https://www.coingecko.com/en/coins/mizar,1608,https://arbiscan.io/address/0xbbea044f9e7c0520195e49ad1e561572e7e1b948
ibuffer-token,https://www.coingecko.com/en/coins/ibuffer-token,1628,https://arbiscan.io/address/0x1a5b0aaf478bf1fda7b934c76e7692d722982a6d
plutusdao,https://www.coingecko.com/en/coins/plutusdao,1629,https://arbiscan.io/address/0x51318b7d00db7acc4026c88c3952b66278b6a67f
sperax-usd,https://www.coingecko.com/en/coins/sperax-usd,1659,https://arbiscan.io/address/0xd74f5255d557944cf7dd0e45ff521520002d5748
quick-intel,https://www.coingecko.com/en/coins/quick-intel,1731,https://arbiscan.io/address/0x6d038130b9b379a373b1d33a29d5904ed1bb9026
vesta-finance,https://www.coingecko.com/en/coins/vesta-finance,1744,https://arbiscan.io/address/0xa684cd057951541187f288294a1e1c2646aa2d24
y2k,https://www.coingecko.com/en/coins/y2k,1773,https://arbiscan.io/address/0x65c936f008bc34fe819bce9fa5afd9dc2d49977f
perpy-finance,https://www.coingecko.com/en/coins/perpy-finance,1777,https://arbiscan.io/address/0x1824a51c106efc27d35a74efb56d9bf54ddb22d4
equilibria-finance,https://www.coingecko.com/en/coins/equilibria-finance,1788,https://arbiscan.io/address/0xbfbcfe8873fe28dfa25f1099282b088d52bbad9c
lodestar,https://www.coingecko.com/en/coins/lodestar,1855,https://arbiscan.io/address/0xf19547f9ed24aa66b03c3a552d181ae334fbb8db
arken-finance,https://www.coingecko.com/en/coins/arken-finance,1867,https://arbiscan.io/address/0xaf5db6e1cc585ca312e8c8f7c499033590cf5c98
kommunitas,https://www.coingecko.com/en/coins/kommunitas,1877,https://arbiscan.io/address/0xa58663faef461761e44066ea26c1fcddf2927b80
wombex,https://www.coingecko.com/en/coins/wombex,1887,https://arbiscan.io/address/0x5190f06eacefa2c552dc6bd5e763b81c73293293
edgeware,https://www.coingecko.com/en/coins/edgeware,1960,https://arbiscan.io/address/0x6e7118b82fb9608342c288a90eeb5e614aaee2e9
