id,rank,address
monkeyball,1439,0x8fbd0648971d56f1f2c35fa075ff5bc75fb0e39d
youcoin-2,1511,0x0fa70e156cd3b03ac4080bfe55bd8ab50f5bcb98
synthswap,1758,0xbd2dbb8ecea9743ca5b16423b4eaa26bdcfe5ed2
axlusdc,,0xeb466342c4d449bc9f53a865d5cb90586f405215
bald,,0x27d2decb4bfc9c76f0309b8e88dec3a601fe25a8
base,,0xd07379a755a8f11b57610154861d694b2a0f615a
baseape,,0x09f29e2acdb76a831668b03ce2e3ad7bb41aaa5c
baseinu,,0x63e71271719f03d7233f4fa306b6ea868d0f52ff
baseswap,,0x78a087d713be963bf307b18f2ff8122ef9a63ae9
basetools,,0xb3ce4ce692e035720b25880f678871cfc5a863ca
bridged-usd-coin-base,,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca
coin-2,,0xd022723a5005f53c95b51d1822f42b1a3366ee4d
cookiebase,,0x614747c53cb1636b4b962e15e1d66d3214621100
ink-2,,0x71f6b11b371de742c8c65d0ef9e8a0837a61e5da
krav,,0xbe3111856e4aca828593274ea6872f27968c8dd6
leet,,0x0963a1abaf36ca88c21032b82e479353126a1c4b
mochi-2,,0xe1f9ac62a2f34881f6fe0f84322de9d7024c2b8e
smudge-cat,,0x22dc834c3ff3e45f484bf24b9b07b851b981900f
toshi,,0x8544fe9d190fd7ec52860abbf45088e81ee24a8c
