id,rank,address
beefy-finance,569,0xe6801928061cdbe32ac5ad0634427e140efd05f9
hera-finance,893,0x6f05709bc91bad933346f9e159f0d3fdbc2c9dce
hermes-protocol,1779,0xb27bbeaaca2c00d6258c3118bab6b5b6975161c8
tethys-finance,1781,0x69fdb77064ec5c84fa2f21072973eb28441f43f3
aerarium-fi,,0xfe540d6dbad8c68928778aaf2be828efa4b44fa2
agora-defi,,0x0ed0ca6872073e02cd3ae005baf04ba43be947fa
alium-finance,,0x1581929770be3275a82068c1135b6dd59c5334ed
andronodes,,0x12e9a12dbb312c43b0160fdb479b753685747442
athena-finance,,0xa4ee142e34d0676edc2b760dd0016003d99a4cec
binarydao,,0x721532bc0da5ffaeb0a6a45fb24271e8098629a7
hummus,,0x4aac94985cd83be30164dfe7e9af7c054d7d2121
maia,,0x72c232d56542ba082592dee7c77b1c6cfa758bcd
monkex,,0x186573b175adf5801cf95fb06b232ccab123c6f4
netswap,,0x90fe084f877c65e1b577c7b2ea64b8d8dd1ab278
paper-fantom,,0x1affbc17938a25d245e1b7ec6f2fc949df8e9760
poseidon-finance,,0x1b33020a1db9f1762f98635b9ac6fb4c36122649
prometheus-token,,0x259ef6776648500d7f1a8aba3651e38b1121e65e
revenant,,0x966b25d174be6ba703e0ff80c68bb6e167236ba2
