id,rank,address
optimism,43,0x4200000000000000000000000000000000000042
usd,617,0x73cb180bf0521828d8849bc8cf2b920918e23032
kwenta,708,0x920cf626a271321c151d027030d5d08af699456b
velodrome-finance,881,0x9560e827af36c94d2ac33a39bce1fe78631088db
sonne-finance,1073,0x1db2466d9f5e10d7090e7152b68d62703a2245f0
pika-protocol,1149,0x9a601c5bb360811d96a23689066af316a30c3027
extra-finance,1397,0x2dad3a13ef0c6366220f989157009e501e7938f8
collab-land,1431,0x8b21e9b7daf2c4325bf3d18c1beb79a347fe902a
qi-dao,1483,0x3f56e0c36d275367b8c502090edf38289b3dea0d
beethoven-x,1599,0x97513e975a7fa9072c72c92d8000b0db90b163c5
mummy-finance,1759,0x47536f17f4ff30e64a96a7555826b8f9e66ec468
aelin,,0x61baadcf22d2565b0f471b291c475db5555e0b76
astrava,,0xb532178708814f0c174b29b991d2b355106afbc3
axelar-usdt,,0x7f5373ae26c3e8ffc4c77b7255df7ec1a9af52a6
axlusdc,,0xeb466342c4d449bc9f53a865d5cb90586f405215
axlweth,,0xb829b68f57cc546da7e5806a929e53be32a4625d
bridged-trueusd,,0xcb59a0a753fdb7491d5f3d794316f1ade197b21e
cthulhu-finance,,0xf8e943f646816e4b51279b8934753821ed832dca
davos-protocol,,0xb396b31599333739a97951b74652c117be86ee1d
exa,,0x1e925de1c68ef83bd98ee3e130ef14a50309c01b
exactly-op,,0xa430a427bd00210506589906a71b54d6c256cedb
exactly-usdc,,0x81c9a7b55a4df39a9b7b5f781ec0e53539694873
exactly-weth,,0xc4d4500326981eacd020e20a81b1c479c161c7ef
exactly-wsteth,,0x22ab31cd55130435b5efbf9224b6a9d5ec36533f
fbomb,,0x74ccbe53f77b08632ce0cb91d3a545bf6b8e0979
iron-bank,,0x00a35fd824c717879bf370e70ac6868b95870dfb
kokomo-finance,,0x7da25bc4cfaed3f29414c6779676e53b19a356f5
layer2dao,,0xd52f94df742a6f4b4c8b033369fe13a41782bf44
minerva-money,,0xe4d8701c69b3b94a620ff048e4226c895b67b2c0
onering,,0xb0ae108669ceb86e9e98e8fe9e40d98b867855fd
openxswap,,0xc3864f98f2a61a7caeb95b039d031b4e2f55e0e9
openxswap-gov-token,,0x2513486f18eee1498d7b6281f668b955181dd0d9
opx-finance,,0xcdb4bb51801a1f399d4402c61bc098a72c382e65
overnight-dai,,0x970d50d09f3a656b43e11b0d45241a84e3a6e011
rillafi,,0x96d17e1301b31556e5e263389583a9331e6749e9
solimax,,0xd652776de7ad802be5ec7bebfafda37600222b48
wrapped-optidoge,,0xc26921b5b9ee80773774d36c84328ccb22c3a819
xshrap,,0x1e3c6c53f9f60bf8aae0d7774c21fa6b1afddc57
zipswap,,0xfa436399d0458dbe8ab890c3441256e3e09022a8
