id,link,rank,address,platform,ogPlatform,ogAddress
gmx,https://www.coingecko.com/en/coins/gmx,98,https://arbiscan.io/address/0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,arbitrum-one,arbitrum-one,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a
gains-network,https://www.coingecko.com/en/coins/gains-network,203,https://arbiscan.io/address/0x18c11fd286c5ec11c3b683caa813b77f5163a122,arbitrum-one,polygon-pos,0xe5417af564e4bfda1c483642db72007871397896
bitcoin-avalanche-bridged-btc-b,https://www.coingecko.com/en/coins/bitcoin-avalanche-bridged-btc-b,215,https://arbiscan.io/address/0x2297aebd383787a160dd0d9f71508148769342e3,arbitrum-one,avalanche,0x152b9d0fdc40c096757f570a51e494bd4b943e50
joe,https://www.coingecko.com/en/coins/joe,253,https://arbiscan.io/address/0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07,arbitrum-one,avalanche,0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd
radiant-capital,https://www.coingecko.com/en/coins/radiant-capital,283,https://arbiscan.io/address/0x3082cc23568ea640225c2467653db90e9250aaa0,arbitrum-one,arbitrum-one,0x3082cc23568ea640225c2467653db90e9250aaa0
beefy-finance,https://www.coingecko.com/en/coins/beefy-finance,569,https://arbiscan.io/address/0x99c409e5f62e4bd2ac142f17cafb6810b8f0baae,arbitrum-one,binance-smart-chain,0xca3f508b8e4dd382ee878a314789373d80a5190a
dream-machine-token,https://www.coingecko.com/en/coins/dream-machine-token,580,https://arbiscan.io/address/0x8b0e6f19ee57089f7649a455d89d7bc6314d04e8,arbitrum-one,arbitrum-one,0x8b0e6f19ee57089f7649a455d89d7bc6314d04e8
usd,https://www.coingecko.com/en/coins/usd,612,https://arbiscan.io/address/0xe80772eaf6e2e18b651f160bc9158b2a5cafca65,arbitrum-one,polygon-pos,0x236eec6359fb44cce8f97e99387aa7f8cd5cde1f
hydranet,https://www.coingecko.com/en/coins/hydranet,642,https://arbiscan.io/address/0x3404149e9ee6f17fb41db1ce593ee48fbdcd9506,arbitrum-one,arbitrum-one,0x3404149e9ee6f17fb41db1ce593ee48fbdcd9506
aurory,https://www.coingecko.com/en/coins/aurory,736,https://arbiscan.io/address/0x11bf4f05eb28b802ed3ab672594decb20ffe2313,arbitrum-one,solana,AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP
arbdoge-ai,https://www.coingecko.com/en/coins/arbdoge-ai,761,https://arbiscan.io/address/0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,arbitrum-one,arbitrum-one,0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b
vela-token,https://www.coingecko.com/en/coins/vela-token,773,https://arbiscan.io/address/0x088cd8f5ef3652623c22d48b1605dcfe860cd704,arbitrum-one,arbitrum-one,0x088cd8f5ef3652623c22d48b1605dcfe860cd704
level,https://www.coingecko.com/en/coins/level,814,https://arbiscan.io/address/0xb64e280e9d1b5dbec4accedb2257a87b400db149,arbitrum-one,binance-smart-chain,0xb64e280e9d1b5dbec4accedb2257a87b400db149
camelot-token,https://www.coingecko.com/en/coins/camelot-token,847,https://arbiscan.io/address/0x3d9907f9a368ad0a51be60f7da3b97cf940982d8,arbitrum-one,arbitrum-one,0x3d9907f9a368ad0a51be60f7da3b97cf940982d8
idia,https://www.coingecko.com/en/coins/idia,883,https://arbiscan.io/address/0xe6045890b20945d00e6f3c01878265c03c5435d3,arbitrum-one,binance-smart-chain,0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89
optimism,https://www.coingecko.com/en/coins/optimism,42,https://optimistic.etherscan.io/address/0x4200000000000000000000000000000000000042,optimistic-ethereum,optimistic-ethereum,0x4200000000000000000000000000000000000042
usd,https://www.coingecko.com/en/coins/usd,612,https://optimistic.etherscan.io/address/0x73cb180bf0521828d8849bc8cf2b920918e23032,optimistic-ethereum,polygon-pos,0x236eec6359fb44cce8f97e99387aa7f8cd5cde1f
kwenta,https://www.coingecko.com/en/coins/kwenta,702,https://optimistic.etherscan.io/address/0x920cf626a271321c151d027030d5d08af699456b,optimistic-ethereum,optimistic-ethereum,0x920cf626a271321c151d027030d5d08af699456b
velodrome-finance,https://www.coingecko.com/en/coins/velodrome-finance,863,https://optimistic.etherscan.io/address/0x9560e827af36c94d2ac33a39bce1fe78631088db,optimistic-ethereum,optimistic-ethereum,0x9560e827af36c94d2ac33a39bce1fe78631088db
usd,https://www.coingecko.com/en/coins/usd,612,https://explorer.zksync.io/address/0x8e86e46278518efc1c5ced245cba2c7e3ef11557,zksync,polygon-pos,0x236eec6359fb44cce8f97e99387aa7f8cd5cde1f
beefy-finance,https://www.coingecko.com/en/coins/beefy-finance,569,https://andromeda-explorer.metis.io/address/0xe6801928061cdbe32ac5ad0634427e140efd05f9,metis-andromeda,binance-smart-chain,0xca3f508b8e4dd382ee878a314789373d80a5190a
hera-finance,https://www.coingecko.com/en/coins/hera-finance,893,https://andromeda-explorer.metis.io/address/0x6f05709bc91bad933346f9e159f0d3fdbc2c9dce,metis-andromeda,metis-andromeda,0x6f05709bc91bad933346f9e159f0d3fdbc2c9dce
