Name,Coingecko,Rank,Market Cap,Platform,Contract,Address,Origin,Origin Address
MAI,https://www.coingecko.com/en/coins/mimatic,583,26236480,polygon-zkevm,TokenWrapped,https://zkevm.polygonscan.com/address//0x27a4bf80c2d63e42437258533dac7eaff9881bdb,polygon-pos,0xa3fa99a148fa48d14ed51d610c367c61876997f1
Quickswap,https://www.coingecko.com/en/coins/quickswap,598,25164257,polygon-zkevm,TokenWrapped,https://zkevm.polygonscan.com/address//0x68286607a1d43602d880d349187c3c48c0fd05e6,polygon-pos,0xb5c064f955d8e7f38fe0460c556a72987494ee17
Arbitrum,https://www.coingecko.com/en/coins/arbitrum,38,1471605088,arbitrum-one,TransparentUpgradeableProxy,https://arbiscan.io/address//0x912ce59144191c1204e64559fe8253a0e49e6548,arbitrum-one,0x912ce59144191c1204e64559fe8253a0e49e6548
USDD,https://www.coingecko.com/en/coins/usdd,60,740661350,arbitrum-one,ClonableBeaconProxy,https://arbiscan.io/address//0x680447595e8b7b3aa1b43beb9f6098c79ac2ab3f,tron,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn
GMX,https://www.coingecko.com/en/coins/gmx,98,400352186,arbitrum-one,GMX,https://arbiscan.io/address//0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,arbitrum-one,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a
Magic,https://www.coingecko.com/en/coins/magic,189,168096602,arbitrum-one,ClonableBeaconProxy,https://arbiscan.io/address//0x539bde0d7dbd336b79148aa742883198bbf60342,arbitrum-one,0x539bde0d7dbd336b79148aa742883198bbf60342
Gains Network,https://www.coingecko.com/en/coins/gains-network,203,146759639,arbitrum-one,GainsNetworkToken,https://arbiscan.io/address//0x18c11fd286c5ec11c3b683caa813b77f5163a122,polygon-pos,0xe5417af564e4bfda1c483642db72007871397896
Bitcoin Avalanche Bridged (BTC.b),https://www.coingecko.com/en/coins/bitcoin-avalanche-bridged-btc-b,215,132846727,arbitrum-one,BTCbOFT,https://arbiscan.io/address//0x2297aebd383787a160dd0d9f71508148769342e3,avalanche,0x152b9d0fdc40c096757f570a51e494bd4b943e50
JOE,https://www.coingecko.com/en/coins/joe,253,101079655,arbitrum-one,JoeTokenOFT,https://arbiscan.io/address//0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07,avalanche,0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd
Kujira,https://www.coingecko.com/en/coins/kujira,256,99092484,arbitrum-one,BurnableMintableCappedERC20,https://arbiscan.io/address//0x3a18dcc9745edcd1ef33ecb93b0b6eba5671e7ca,osmosis,ibc/BB6BCDB515050BAE97516111873CCD7BCF1FD0CCB723CC12F3C4F704D6C646CE
Radiant Capital,https://www.coingecko.com/en/coins/radiant-capital,283,84025976,arbitrum-one,RadiantOFT,https://arbiscan.io/address//0x3082cc23568ea640225c2467653db90e9250aaa0,arbitrum-one,0x3082cc23568ea640225c2467653db90e9250aaa0
BOB,https://www.coingecko.com/en/coins/bob,409,49491475,arbitrum-one,EIP1967Proxy,https://arbiscan.io/address//0xb0b195aefa3650a6908f15cdac7d92f8a5791b0b,polygon-pos,0xb0b195aefa3650a6908f15cdac7d92f8a5791b0b
dForce USD,https://www.coingecko.com/en/coins/token-dforce-usd,516,32202900,arbitrum-one,TransparentUpgradeableProxy,https://arbiscan.io/address//0x641441c631e2f909700d2f41fd87f0aa6a6b4edb,binance-smart-chain,0xb5102cee1528ce2c760893034a4603663495fd72
Beefy,https://www.coingecko.com/en/coins/beefy-finance,569,27363072,arbitrum-one,AnyswapV5ERC20,https://arbiscan.io/address//0x99c409e5f62e4bd2ac142f17cafb6810b8f0baae,binance-smart-chain,0xca3f508b8e4dd382ee878a314789373d80a5190a
Dream Machine Token,https://www.coingecko.com/en/coins/dream-machine-token,580,26536425,arbitrum-one,DMT,https://arbiscan.io/address//0x8b0e6f19ee57089f7649a455d89d7bc6314d04e8,arbitrum-one,0x8b0e6f19ee57089f7649a455d89d7bc6314d04e8
MAI,https://www.coingecko.com/en/coins/mimatic,583,26236480,arbitrum-one,EditableERC20,https://arbiscan.io/address//0x3f56e0c36d275367b8c502090edf38289b3dea0d,polygon-pos,0xa3fa99a148fa48d14ed51d610c367c61876997f1
Overnight.fi USD+,https://www.coingecko.com/en/coins/usd,612,23809297,arbitrum-one,ERC1967Proxy,https://arbiscan.io/address//0xe80772eaf6e2e18b651f160bc9158b2a5cafca65,polygon-pos,0x236eec6359fb44cce8f97e99387aa7f8cd5cde1f
Hydranet,https://www.coingecko.com/en/coins/hydranet,642,21659311,arbitrum-one,ERC1967Proxy,https://arbiscan.io/address//0x3404149e9ee6f17fb41db1ce593ee48fbdcd9506,arbitrum-one,0x3404149e9ee6f17fb41db1ce593ee48fbdcd9506
Aurory,https://www.coingecko.com/en/coins/aurory,736,16951975,arbitrum-one,TransparentUpgradeableProxy,https://arbiscan.io/address//0x11bf4f05eb28b802ed3ab672594decb20ffe2313,solana,AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP
ArbDoge AI,https://www.coingecko.com/en/coins/arbdoge-ai,761,15811429,arbitrum-one,AIDoge,https://arbiscan.io/address//0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b,arbitrum-one,0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b
Vela Token,https://www.coingecko.com/en/coins/vela-token,773,15268840,arbitrum-one,VelaToken,https://arbiscan.io/address//0x088cd8f5ef3652623c22d48b1605dcfe860cd704,arbitrum-one,0x088cd8f5ef3652623c22d48b1605dcfe860cd704
Bonk,https://www.coingecko.com/en/coins/bonk,792,14685174,arbitrum-one,BridgeToken,https://arbiscan.io/address//0x09199d9a5f4448d0848e4395d065e1ad9c4a1f74,solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263
Level,https://www.coingecko.com/en/coins/level,814,13759932,arbitrum-one,TransparentUpgradeableProxy,https://arbiscan.io/address//0xb64e280e9d1b5dbec4accedb2257a87b400db149,binance-smart-chain,0xb64e280e9d1b5dbec4accedb2257a87b400db149
Camelot Token,https://www.coingecko.com/en/coins/camelot-token,847,12628122,arbitrum-one,GrailTokenV2,https://arbiscan.io/address//0x3d9907f9a368ad0a51be60f7da3b97cf940982d8,arbitrum-one,0x3d9907f9a368ad0a51be60f7da3b97cf940982d8
Impossible Finance Launchpad,https://www.coingecko.com/en/coins/idia,883,11735738,arbitrum-one,ClonableBeaconProxy,https://arbiscan.io/address//0xe6045890b20945d00e6f3c01878265c03c5435d3,binance-smart-chain,0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89
Sperax,https://www.coingecko.com/en/coins/sperax,1011,8123132,arbitrum-one,SperaxTokenL2,https://arbiscan.io/address//0x5575552988a3a80504bbaeb1311674fcfd40ad4b,arbitrum-one,0x5575552988a3a80504bbaeb1311674fcfd40ad4b
Banano,https://www.coingecko.com/en/coins/banano,1014,8065606,arbitrum-one,TransparentUpgradeableProxy,https://arbiscan.io/address//0xe20b9e246db5a0d21bf9209e4858bc9a3ff7a034,polygon-pos,0xe20b9e246db5a0d21bf9209e4858bc9a3ff7a034
Tigris,https://www.coingecko.com/en/coins/tigris,1024,7860492,arbitrum-one,TigrisToken,https://arbiscan.io/address//0x3a33473d7990a605a88ac72a78ad4efc40a54adb,arbitrum-one,0x3a33473d7990a605a88ac72a78ad4efc40a54adb
Umami,https://www.coingecko.com/en/coins/umami-finance,1075,6802843,arbitrum-one,UMAMI,https://arbiscan.io/address//0x1622bf67e6e5747b81866fe0b85178a93c7f86e3,arbitrum-one,0x1622bf67e6e5747b81866fe0b85178a93c7f86e3
Vesta Stable,https://www.coingecko.com/en/coins/vesta-stable,1079,6600089,arbitrum-one,VSTToken,https://arbiscan.io/address//0x64343594ab9b56e99087bfa6f2335db24c2d1f17,arbitrum-one,0x64343594ab9b56e99087bfa6f2335db24c2d1f17
WINR Protocol,https://www.coingecko.com/en/coins/winr-protocol,1092,6339623,arbitrum-one,WINR,https://arbiscan.io/address//0xd77b108d4f6cefaa0cae9506a934e825becca46e,arbitrum-one,0xd77b108d4f6cefaa0cae9506a934e825becca46e
Cap,https://www.coingecko.com/en/coins/cap,1101,6174021,arbitrum-one,ClonableBeaconProxy,https://arbiscan.io/address//0x031d35296154279dc1984dcd93e392b1f946737b,arbitrum-one,0x031d35296154279dc1984dcd93e392b1f946737b
Arbitrove Governance Token,https://www.coingecko.com/en/coins/nitro-cartel,1123,5858557,arbitrum-one,TransparentUpgradeableProxy,https://arbiscan.io/address//0x982239d38af50b0168da33346d85fb12929c4c07,arbitrum-one,0x982239d38af50b0168da33346d85fb12929c4c07
ApeSwap,https://www.coingecko.com/en/coins/apeswap-finance,1164,5265860,arbitrum-one,AnyswapV6ERC20,https://arbiscan.io/address//0xd978f8489e1245568704407a479a71fcce2afe8f,binance-smart-chain,0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95
Tarot,https://www.coingecko.com/en/coins/tarot,1181,5098775,arbitrum-one,AnyswapV6ERC20,https://arbiscan.io/address//0x6688b00f0c23a4a546beaae51a7c90c439895d48,fantom,0xc5e2b037d30a390e62180970b3aa4e91868764cd
Jones DAO,https://www.coingecko.com/en/coins/jones-dao,1223,4591434,arbitrum-one,JonesToken,https://arbiscan.io/address//0x10393c20975cf177a3513071bc110f7962cd67da,arbitrum-one,0x10393c20975cf177a3513071bc110f7962cd67da
Wombat Exchange,https://www.coingecko.com/en/coins/wombat-exchange,1226,4470459,arbitrum-one,BridgeToken,https://arbiscan.io/address//0x7b5eb3940021ec0e8e463d5dbb4b7b09a89ddf96,binance-smart-chain,0xad6742a35fb341a9cc6ad674738dd8da98b94fb1
Ethos Reserve Note,https://www.coingecko.com/en/coins/ethos-reserve-note,1258,4089867,arbitrum-one,BurnableMintableCappedERC20,https://arbiscan.io/address//0xa334884bf6b0a066d553d19e507315e839409e62,optimistic-ethereum,0xc5b001dc33727f8f26880b184090d3e252470d45
GMD,https://www.coingecko.com/en/coins/gmd-protocol,1267,3987968,arbitrum-one,GMD,https://arbiscan.io/address//0x4945970efeec98d393b4b979b9be265a3ae28a8b,arbitrum-one,0x4945970efeec98d393b4b979b9be265a3ae28a8b
Magpie,https://www.coingecko.com/en/coins/magpie,1277,3862702,arbitrum-one,BridgeToken,https://arbiscan.io/address//0xa61f74247455a40b01b0559ff6274441fafa22a3,binance-smart-chain,0xd06716e1ff2e492cc5034c2e81805562dd3b45fa
GND Protocol,https://www.coingecko.com/en/coins/gnd-protocol,1379,3140132,arbitrum-one,GND,https://arbiscan.io/address//0xd67a097dce9d4474737e6871684ae3c05460f571,arbitrum-one,0xd67a097dce9d4474737e6871684ae3c05460f571
Bridge Oracle,https://www.coingecko.com/en/coins/bridge-oracle,1398,3044250,arbitrum-one,ERC20Minter,https://arbiscan.io/address//0xc9c4fd7579133701fa2769b6955e7e56bb386db1,binance-smart-chain,0x6e4a971b81ca58045a2aa982eaa3d50c4ac38f42
MintMe.com Coin,https://www.coingecko.com/en/coins/webchain,1411,2956825,arbitrum-one,AnyswapV6ERC20,https://arbiscan.io/address//0x7d05d38e6109a3aeeebf0a570eb8f6856cb4b55e,binance-smart-chain,0x138218c8e064ed2a011c9ff203759a8a1e23e6c8
FactorDAO,https://www.coingecko.com/en/coins/factor,1438,2744195,arbitrum-one,TransparentUpgradeableProxy,https://arbiscan.io/address//0x6dd963c510c2d2f09d5eddb48ede45fed063eb36,arbitrum-one,0x6dd963c510c2d2f09d5eddb48ede45fed063eb36
BattleFly,https://www.coingecko.com/en/coins/battlefly,1473,2560732,arbitrum-one,GFly,https://arbiscan.io/address//0x872bad41cfc8ba731f811fea8b2d0b9fd6369585,arbitrum-one,0x872bad41cfc8ba731f811fea8b2d0b9fd6369585
SpartaDEX,https://www.coingecko.com/en/coins/spartadex,1501,2441279,arbitrum-one,Sparta,https://arbiscan.io/address//0x11f98c7e42a367dab4f200d2fdc460fb445ce9a8,arbitrum-one,0x11f98c7e42a367dab4f200d2fdc460fb445ce9a8
Archi Token,https://www.coingecko.com/en/coins/archi-token,1546,2210017,arbitrum-one,ArchiToken,https://arbiscan.io/address//0x93d504070ab0eede5449c89c5ea0f5e34d8103f8,arbitrum-one,0x93d504070ab0eede5449c89c5ea0f5e34d8103f8
