id,rank,address
usd,612,0x8e86e46278518efc1c5ced245cba2c7e3ef11557
metavault-trade,1344,0xc8ac6191cdc9c7bf846ad6b52aaaa7a0757ee305
aegis-token-f7934368-2fb3-4091-9edc-39283e87f55d,,0x286f34bf2384b38067709e2abb255aa16d79f0e5
bolt-token-023ba86e-eb38-41a1-8d32-8b48ecfcb2c7,,0x61b41e0244133b9c9c47a57e51a5ef70be2c5dd4
bullets,,0x71fd7dfa7db7094e0f857ad3040f1afef76fef85
cheems-token,,0x08f328c72a9b420b7568415ed331a1c236e6f620
doge-farm,,0xcffec2c683762831d16a9c5b9c70ba1789bba1f3
dracula-fi,,0x160e07e42adbc1fce92d505b579bcd8a3fbea77d
era-name-service,,0xecd9f240ed3895c77db676004328dd1d246f33c9
ezkalibur,,0x240f765af2273b0cab6caff2880d6d8f8b285fa4
gemswap-2,,0x2b64237277c605d07f17b96f9627712340c32981
heartx-utility-token,,0xc76997c863bac0f6e4b6d3c2404b06013a0b29e2
hush-cash,,0x6d27b6252b980ba4350a1e349a3b684237d5e986
kannagi-finance,,0x26ac1d9945f65392b8e4e6b895969b5c01a7b414
onchain-trade,,0xd0ea21ba66b67be636de1ec4bd9696eb8c61e9aa
pepera,,0x60143f39b54a731ac790708c8719211878e638c3
pinnako,,0xf8c6da1bbdc31ea5f968ace76e931685ca7f9962
reactorfusion,,0x5f7cbcb391d33988dad74d6fd683aadda1123e4d
snark-launch,,0x533b5f887383196c6bc642f83338a69596465307
spacefi-zksync,,0x47260090ce5e83454d5f05a0abbb2c953835f777
superlauncher-dao,,0xf6d9a093a1c69a152d87e269a7d909e9d76b1815
syncdex,,0x3a34fa9a1288597ad6c1da709f001d37fef8b19e
tiny-era-shard,,0xcab3f741fa54e79e34753b95717b23018332b8ac
velocore,,0x85d84c774cf8e9ff85342684b0e795df72a24908
velocore-waifu,,0xa4e4d9984366e74713737cb5d646bba0b7e070a4
vesync,,0x5756a28e2aae01f600fc2c01358395f5c1f8ad3a
whisper,,0xc8ec5b0627c794de0e4ea5d97ad9a556b361d243
zkapes-token,,0x47EF4A5641992A72CFd57b9406c9D9cefEE8e0C4/token-transfers
zkcult,,0x8aaaf6e6167825829ab29f260f246afe742fb243
zkdoge,,0xbfb4b5616044eded03e5b1ad75141f0d9cb1499b
zkfloki,,0x8d266fa745b7cf3856af0c778828473b8d33a149
zk-inu,,0x45559297bdedf453e172833ac7086f7d03f6690b
zklaunchpad,,0x959ab3394246669914bddeaeb50f8ac85648615e
zklotto,,0x94466dcfe241db963af1bc9741a94daa87ab2169
zkpepe,,0x90eea899185105d583d04b7bdbfb672fce902a53
zkshib,,0x5e38cb3e6c0faafaa5c32c482864fcef5a0660ad
zkswap-92fc4897-ea4c-4692-afc9-a9840a85b4f2,,0x7eCf006f7c45149B457e9116392279CC8A630F14#contract
zksync-id,,0x41d8521e2f8fd1e575b76308a439f403c565bbd8
zynergy,,0x0231b3de40b6b3bdd28dcef037f1b7a3fcf5a95a
